ID,Items,byCap,byCapTime,byValue,byValueTime,FPTAS,FPTAStime,branch,branchTime
9000,4,473,0.00019496000000000013,473,0.0038345000000000002,460,0.0005056199999999999,473,0.00010430999999999968,
9001,4,326,0.00020528000000000102,326,0.0023992799999999993,320,0.0003376200000000007,326,0.00010278000000000232,
9002,4,196,0.0001374399999999998,196,0.002223600000000001,190,0.00038732999999999904,196,0.00015386999999999817,
9003,4,545,0.0001556700000000011,545,0.003208549999999999,530,0.00041906999999999914,545,0.0001210200000000028,
9004,4,243,0.00013334000000000178,243,0.0035737100000000034,240,0.000518869999999998,243,0.00012315000000000077,
9005,4,563,0.00019398999999999944,563,0.0032147000000000013,550,0.00040947000000000065,563,0.00010339000000000099,
9006,4,410,0.0001454399999999989,410,0.003311299999999995,350,0.00048407999999999785,410,0.00011465999999999976,
9007,4,375,0.00017094000000000164,375,0.002265440000000001,200,0.0004081299999999999,375,0.00015922999999999908,
9008,4,235,0.00014097999999999723,235,0.004997570000000002,230,0.0006200300000000025,235,0.00011236999999999941,
9009,4,224,0.00019378999999999813,224,0.0026086800000000034,220,0.00045984999999999944,224,0.00010858999999999951,
9010,4,297,0.0001470099999999963,297,0.001916170000000008,280,0.000292349999999999,297,0.00010573000000000831,
9011,4,459,0.00021223999999999242,459,0.0036254700000000017,450,0.0005414999999999992,459,0.00016461999999998868,
9012,4,325,0.0001626700000000003,325,0.0024007999999999985,310,0.0003559599999999996,325,0.00016046999999999478,
9013,4,431,0.0001975199999999866,431,0.0028887099999999944,330,0.00041256999999999877,431,0.00011485999999999663,
9014,4,472,0.00017821999999999782,472,0.0032463499999999977,460,0.00047584000000000515,472,0.00010371999999999382,
9015,4,230,0.0001544100000000004,230,0.0026602100000000027,220,0.0003964199999999973,230,0.0001283700000000021,
9016,4,452,0.00022069999999999368,452,0.0032223500000000006,440,0.00044484000000000635,452,0.00010911000000000116,
9017,4,306,0.00014616000000001073,306,0.0032507400000000076,300,0.0005150399999999955,306,0.00011061999999999905,
9018,4,483,0.00025770999999999764,483,0.003914250000000008,460,0.0006742700000000124,483,0.0001378500000000038,
